"cell_type"	"biopsy_tissue"	"biopsy_cell_selection"	"grouping_id"	"study_id"	"hgnc_symbol"	"ensembl_gene_id"	"ensembl_version"	"p_value"	"p_value_adj"	"auc"	"pct_cells_target_cluster"	"pct_cells_other_clusters"	"avg_logFC"	"study_specific_columns"	"study_specific_columns_values"	"notes"
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"MPEG1"	"ENSG00000197629"	99		3.53e-12				5.1715636	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"MS4A6A"	"ENSG00000110077"	99		5.2e-06				4.549385	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"MYL6"	"ENSG00000092841"	99		1.32e-09				0.84345824	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"MZT2A"	"ENSG00000173272"	99		7.12e-07				1.5962081	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"NAP1L1"	"ENSG00000187109"	99		6.11e-07				1.0424752	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"NET1"	"ENSG00000173848"	99		3.48e-06				5.021209	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"PAK1"	"ENSG00000149269"	99		4.16e-06				3.485236	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"PFN1"	"ENSG00000108518"	99		1.32e-07				0.832543	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"PGLS"	"ENSG00000130313"	99		1.47e-06				2.1879694	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"PLEK"	"ENSG00000115956"	99		1.33e-11				3.3822541	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"PLEKHO1"	"ENSG00000023902"	99		2.18e-07				3.051681	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"PPT1"	"ENSG00000131238"	99		3.22e-13				3.0621383	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"PSAP"	"ENSG00000197746"	99		2.22e-06				1.4578507	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"PSMB9"	"ENSG00000240065"	99		3.64e-07				1.5215251	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"PTMS"	"ENSG00000159335"	99		1.82e-09				3.9270837	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"PTPRE"	"ENSG00000132334"	99		8.25e-13				3.5840824	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"PYCARD"	"ENSG00000103490"	99		1.33e-12				2.7465153	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"RAB32"	"ENSG00000118508"	99		6.31e-09				5.7188163	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"RAB7B"	"ENSG00000276600"	99		7.46e-07				10.769532	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"RAC1"	"ENSG00000136238"	99		2.02e-06				1.5199046	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"RGCC"	"ENSG00000102760"	99		2.98e-07				1.5490881	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"RGS10"	"ENSG00000148908"	99		2.49e-15				2.2512338	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"RNASE6"	"ENSG00000169413"	99		2.38e-09				3.3912134	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"RNASET2"	"ENSG00000026297"	99		6.89e-08				1.2749764	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"RPS24"	"ENSG00000138326"	99		1.14e-08				0.43958145	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"S100A11"	"ENSG00000163191"	99		5.87e-07				1.5809549	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"S100B"	"ENSG00000160307"	99		1.53e-06				6.754231	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"SAT1"	"ENSG00000130066"	99		5.39e-11				1.2390177	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"SERPINF2"	"ENSG00000167711"	99		9.67e-06				8.040516	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"SGK1"	"ENSG00000118515"	99		6.24e-06				3.2433622	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"SHTN1"	"ENSG00000187164"	99		2.55e-09				7.5844803	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"SLC25A6"	"ENSG00000169100"	99		5.17e-06				0.7057034	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"SMCO4"	"ENSG00000166002"	99		4.95e-08				3.6348758	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"SNX3"	"ENSG00000112335"	99		3.94e-22				2.2475536	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"SPI1"	"ENSG00000066336"	99		1.44e-12				3.7864308	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"SPINT2"	"ENSG00000167642"	99		4.28e-07				2.1017902	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"TMSB10"	"ENSG00000034510"	99		7.99e-11				0.7076139	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"TMSB4X"	"ENSG00000205542"	99		1.21e-10				0.5696238	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"TYMP"	"ENSG00000025708"	99		5.5e-07				2.0490398	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"UCP2"	"ENSG00000175567"	99		7.52e-08				1.9229684	""	""	
"cDC1"	"colon"	"immune"		"JamesKR-32066951"	"VIM"	"ENSG00000026025"	99		5.66e-06				0.7576548	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"ACTB"	"ENSG00000075624"	99		4.27e-26				0.72488886	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"ACTG1"	"ENSG00000184009"	99		3.29e-17				0.7392605	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"AIF1"	"ENSG00000204472"	99		8.05e-45				4.645395	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"ALDH2"	"ENSG00000111275"	99		5.39e-17				3.4669814	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"ANXA5"	"ENSG00000164111"	99		5.05e-18				1.8469789	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"AP2S1"	"ENSG00000042753"	99		4.83e-24				2.2602236	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"ARPC1B"	"ENSG00000130429"	99		9.02e-20				1.430269	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"ARPC2"	"ENSG00000163466"	99		1.87e-17				0.8466806	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"ARPC3"	"ENSG00000111229"	99		3.17e-21				1.0545743	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"ARPC5"	"ENSG00000162704"	99		2.69e-20				1.629813	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"BID"	"ENSG00000015475"	99		7.96e-21				2.9508414	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CCDC88A"	"ENSG00000115355"	99		4.41e-26				3.2721603	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CD1E"	"ENSG00000158488"	99		4.75e-16				9.264079	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CD68"	"ENSG00000129226"	99		8.55e-23				4.1123667	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CD74"	"ENSG00000019582"	99		2.2e-40				1.4680278	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CD86"	"ENSG00000114013"	99		4.71e-17				4.1559267	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CEBPD"	"ENSG00000221869"	99		7.77e-21				3.3453467	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CFP"	"ENSG00000126759"	99		3.66e-33				6.2309465	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CLEC10A"	"ENSG00000132514"	99		2.23e-26				6.8942657	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CLEC4A"	"ENSG00000111729"	99		3.8e-16				5.827115	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CLEC7A"	"ENSG00000172243"	99		3.91e-16				5.1084185	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"COTL1"	"ENSG00000103187"	99		1.47e-33				1.885827	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CPVL"	"ENSG00000106066"	99		1.9e-24				6.407821	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CSF2RA"	"ENSG00000198223"	99		4.14e-25				6.5524907	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CST3"	"ENSG00000101439"	99		4.7e-55				4.8006973	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CTSH"	"ENSG00000103811"	99		2.35e-31				2.577838	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CTSZ"	"ENSG00000101160"	99		7.28e-26				2.8520997	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"CXCL16"	"ENSG00000161921"	99		4.06e-22				4.3739405	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"DNASE1L3"	"ENSG00000163687"	99		3.85e-20				5.693239	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"EFHD2"	"ENSG00000142634"	99		1.63e-19				2.9114046	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"ETS2"	"ENSG00000157557"	99		9.6e-17				4.0479994	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"FAM110A"	"ENSG00000125898"	99		1.08e-18				3.876734	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"FCER1A"	"ENSG00000179639"	99		3.01e-22				6.258163	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"FCER1G"	"ENSG00000158869"	99		3.35e-21				3.2528725	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"FCGRT"	"ENSG00000104870"	99		5.03e-24				3.0072694	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"FGL2"	"ENSG00000127951"	99		1.02e-25				3.7608058	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"GCA"	"ENSG00000115271"	99		7.43e-17				2.9147806	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"GDI2"	"ENSG00000057608"	99		1.93e-22				1.7757066	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"GPAT3"	"ENSG00000138678"	99		6.1e-16				5.0116954	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"GRN"	"ENSG00000030582"	99		4.77e-46				3.2423544	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"GSN"	"ENSG00000148180"	99		2.77e-33				4.995218	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"GSTP1"	"ENSG00000084207"	99		5.57e-32				1.5471838	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"H2AFY"	"ENSG00000113648"	99		5.32e-41				2.7642128	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"H3F3A"	"ENSG00000163041"	99		5.46e-20				0.71532494	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"HCK"	"ENSG00000101336"	99		1.09e-25				5.952583	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DMA"	"ENSG00000204257"	99		2.51e-41				2.5760994	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DMB"	"ENSG00000242574"	99		2.1e-28				2.9440224	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DPA1"	"ENSG00000231389"	99		7.72e-61				2.5259247	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DPB1"	"ENSG00000223865"	99		5.6e-64				2.7561677	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DQA1"	"ENSG00000196735"	99		2e-57				2.6967752	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DQB1"	"ENSG00000179344"	99		1.81e-59				2.7244282	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DRA"	"ENSG00000204287"	99		1.17e-53				2.5659823	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DRB1"	"ENSG00000196126"	99		5.01e-60				2.701734	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DRB5"	"ENSG00000198502"	99		8.85e-53				2.8489735	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"IFI30"	"ENSG00000216490"	99		1.93e-21				4.252201	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"IGSF6"	"ENSG00000140749"	99		1.82e-19				5.7887225	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"IL1B"	"ENSG00000125538"	99		1.45e-16				5.337632	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"ITGB2"	"ENSG00000160255"	99		1.53e-23				2.3228014	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"JAML"	"ENSG00000160593"	99		1.7e-65				3.2523527	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"KLF4"	"ENSG00000136826"	99		1.1e-16				3.7653158	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"LAMTOR1"	"ENSG00000149357"	99		1.63e-19				1.8174382	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"LCP1"	"ENSG00000136167"	99		1.13e-17				1.4402728	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"LGALS2"	"ENSG00000100079"	99		5.63e-27				7.1229014	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"LGALS9"	"ENSG00000168961"	99		4.03e-26				3.8620062	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"LITAF"	"ENSG00000189067"	99		5.1e-23				1.8930455	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"LSP1"	"ENSG00000130592"	99		2.32e-36				1.6453286	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"LST1"	"ENSG00000204482"	99		2.85e-64				4.4030952	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"LYZ"	"ENSG00000090382"	99		4.68e-38				5.5138893	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"MPEG1"	"ENSG00000197629"	99		3.29e-17				4.358965	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"MS4A6A"	"ENSG00000110077"	99		1.35e-35				5.5172806	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"NPC2"	"ENSG00000119655"	99		2.3e-18				1.6052892	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"PAK1"	"ENSG00000149269"	99		3.47e-32				4.145351	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"PFN1"	"ENSG00000108518"	99		1.19e-20				0.80776674	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"PKIB"	"ENSG00000135549"	99		1.12e-22				6.084744	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"PLBD1"	"ENSG00000121316"	99		7.06e-16				5.5172	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"PLD4"	"ENSG00000166428"	99		4.54e-20				4.9754777	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"PLSCR1"	"ENSG00000188313"	99		9.29e-23				3.5802176	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"PPA1"	"ENSG00000180817"	99		9.29e-26				1.7540296	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"PTMS"	"ENSG00000159335"	99		1.07e-21				3.6494887	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"PTPRE"	"ENSG00000132334"	99		1.63e-19				3.0673206	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"PYCARD"	"ENSG00000103490"	99		6.31e-35				2.7917213	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"RAC1"	"ENSG00000136238"	99		3.22e-24				1.7005727	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"RGS10"	"ENSG00000148908"	99		3.91e-22				1.8185186	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"RHOG"	"ENSG00000177105"	99		3.96e-18				1.6718932	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"RNASE6"	"ENSG00000169413"	99		3.73e-30				3.4189985	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"RNASET2"	"ENSG00000026297"	99		2.91e-19				1.1985725	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"RNF130"	"ENSG00000113269"	99		1.88e-27				3.2817807	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"S100A11"	"ENSG00000163191"	99		3.02e-23				1.8122953	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"SAMHD1"	"ENSG00000101347"	99		6.86e-30				2.7806342	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"SLC8A1"	"ENSG00000183023"	99		2.48e-16				6.7282367	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"SMCO4"	"ENSG00000166002"	99		1.41e-16				3.6694558	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"SPI1"	"ENSG00000066336"	99		2.81e-40				3.9516256	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"SPINT2"	"ENSG00000167642"	99		2.06e-36				2.550553	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"TMEM14C"	"ENSG00000111843"	99		1.12e-22				2.269032	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"TMSB10"	"ENSG00000034510"	99		8.28e-25				0.61775935	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"TMSB4X"	"ENSG00000205542"	99		1.19e-20				0.43756437	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"TYMP"	"ENSG00000025708"	99		2.69e-21				2.1472664	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"TYROBP"	"ENSG00000011600"	99		1.94e-45				3.8522432	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"VAMP8"	"ENSG00000118640"	99		1.14e-23				1.6501114	""	""	
"cDC2"	"colon"	"immune"		"JamesKR-32066951"	"ZNF385A"	"ENSG00000161642"	99		1.53e-16				5.6061893	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"ACTB"	"ENSG00000075624"	99		2.31e-12				0.7691864	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"AIF1"	"ENSG00000204472"	99		8.32e-41				5.1091886	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"ANXA2"	"ENSG00000182718"	99		8.81e-17				2.40385	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"ANXA5"	"ENSG00000164111"	99		5.26e-17				2.4432654	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"AP2S1"	"ENSG00000042753"	99		9.48e-19				2.890457	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"APLP2"	"ENSG00000084234"	99		1.86e-14				2.9991171	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"ARPC5"	"ENSG00000162704"	99		1.73e-16				1.9850969	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"C1QA"	"ENSG00000173372"	99		2.35e-25				6.4008484	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"C1QB"	"ENSG00000173369"	99		1.82e-23				6.455434	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"C1QC"	"ENSG00000159189"	99		1.43e-20				6.5259404	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CAPG"	"ENSG00000042493"	99		5.77e-16				2.7763886	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CCDC88A"	"ENSG00000115355"	99		1.44e-11				3.4112356	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CD14"	"ENSG00000170458"	99		1.65e-11				6.0613956	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CD68"	"ENSG00000129226"	99		4.75e-17				4.8837066	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CD74"	"ENSG00000019582"	99		4.8e-15				1.3466958	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CFL1"	"ENSG00000172757"	99		7.84e-12				0.90697825	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CKS1B"	"ENSG00000173207"	99		1.64e-10				3.5686536	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CLEC10A"	"ENSG00000132514"	99		1.28e-10				6.1903176	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CLEC7A"	"ENSG00000172243"	99		8.19e-12				5.5890937	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CLTA"	"ENSG00000122705"	99		4.77e-12				2.2379816	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"COTL1"	"ENSG00000103187"	99		1.95e-13				1.7686712	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CPVL"	"ENSG00000106066"	99		3.47e-13				6.124696	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CST3"	"ENSG00000101439"	99		2.04e-35				4.9004006	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CSTA"	"ENSG00000121552"	99		1.83e-10				6.248871	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CTSB"	"ENSG00000164733"	99		2.8e-19				3.306609	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CTSC"	"ENSG00000109861"	99		6.81e-12				2.236337	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CTSH"	"ENSG00000103811"	99		3.53e-15				2.595932	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CTSS"	"ENSG00000163131"	99		1.86e-14				1.9577917	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CTSZ"	"ENSG00000101160"	99		4.46e-22				3.3861752	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"CYBB"	"ENSG00000165168"	99		2.63e-12				3.5916727	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"DBI"	"ENSG00000155368"	99		1.33e-11				1.7020087	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"DEK"	"ENSG00000124795"	99		4.02e-13				2.053922	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"FCER1G"	"ENSG00000158869"	99		7.22e-21				3.929828	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"FCGRT"	"ENSG00000104870"	99		1.61e-19				3.4573178	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"FGL2"	"ENSG00000127951"	99		3.12e-25				4.166284	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"FTL"	"ENSG00000087086"	99		2.08e-22				0.812253	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"GGH"	"ENSG00000137563"	99		1.7e-10				3.712872	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"GLUL"	"ENSG00000135821"	99		7.02e-12				3.2944388	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"GNAI2"	"ENSG00000114353"	99		1.19e-11				2.2418964	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"GNG5"	"ENSG00000174021"	99		3.7e-14				1.866143	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"GRN"	"ENSG00000030582"	99		1.97e-30				3.5235612	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"GSN"	"ENSG00000148180"	99		4.07e-15				4.466049	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"H2AFV"	"ENSG00000105968"	99		5.63e-15				1.9125873	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"H2AFY"	"ENSG00000113648"	99		2.24e-15				2.5631697	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"H2AFZ"	"ENSG00000164032"	99		6.67e-19				1.7073566	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DMA"	"ENSG00000204257"	99		1.82e-21				2.6678414	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DMB"	"ENSG00000242574"	99		5.63e-15				2.8509898	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DPA1"	"ENSG00000231389"	99		1.09e-19				2.3166332	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DPB1"	"ENSG00000223865"	99		1.74e-22				2.533361	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DQA1"	"ENSG00000196735"	99		2.28e-13				2.2582767	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DRA"	"ENSG00000204287"	99		2.5e-20				2.4363904	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DRB1"	"ENSG00000196126"	99		6.14e-23				2.5863345	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"HLA-DRB5"	"ENSG00000198502"	99		5.47e-20				2.7278724	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"HMGB1"	"ENSG00000189403"	99		1.13e-14				1.1084446	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"HMGB2"	"ENSG00000164104"	99		1.71e-11				1.8883317	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"HMGN2"	"ENSG00000198830"	99		2.33e-20				1.7258749	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"IGSF6"	"ENSG00000140749"	99		4.25e-12				6.075696	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"ITGB2"	"ENSG00000160255"	99		1.2e-11				2.4531398	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"JAML"	"ENSG00000160593"	99		9.53e-13				2.7697759	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"LGALS1"	"ENSG00000100097"	99		9.46e-17				1.8844624	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"LST1"	"ENSG00000204482"	99		1.37e-19				4.07745	""	""	
"cycling DCs"	"colon"	"immune"		"JamesKR-32066951"	"LYZ"	"ENSG00000090382"	99		3.12e-29				5.9069657	""	""	
