ensembl_gene_id	ensembl_gene_id2	hgnc_symbol
ENSG00000177189	ENSG00000177189.14	RPS6KA3
ENSG00000130826	ENSG00000130826.18	DKC1
ENSG00000215301	ENSG00000215301.10	DDX3X
ENSG00000102271	ENSG00000102271.14	KLHL4
ENSG00000130830	ENSG00000130830.15	MPP1
ENSG00000102003	ENSG00000102003.10	SYP
ENSG00000147166	ENSG00000147166.11	ITGB1BP2
ENSG00000147183	ENSG00000147183.10	CPXCR1
ENSG00000153779	ENSG00000153779.11	TGIF2LX
ENSG00000089472	ENSG00000089472.16	HEPH
ENSG00000203870	ENSG00000203870.5	SMIM9
ENSG00000274183	ENSG00000274183.2	H2AB1
ENSG00000185010	ENSG00000185010.15	F8
ENSG00000165775	ENSG00000165775.18	FUNDC2
ENSG00000277203	ENSG00000277203.1	F8A1
ENSG00000185291	ENSG00000185291.12	IL3RA
ENSG00000169100	ENSG00000169100.14	SLC25A6
ENSG00000285602	ENSG00000285602.1	AC097625.2
ENSG00000147003	ENSG00000147003.7	CLTRN
ENSG00000130234	ENSG00000130234.11	ACE2
ENSG00000169239	ENSG00000169239.13	CA5B
ENSG00000169093	ENSG00000169093.16	ASMTL
ENSG00000147133	ENSG00000147133.15	TAF1
ENSG00000185515	ENSG00000185515.14	BRCC3
ENSG00000185915	ENSG00000185915.5	KLHL34
ENSG00000149970	ENSG00000149970.16	CNKSR2
ENSG00000214827	ENSG00000214827.11	MTCP1
ENSG00000288258	ENSG00000288258.1	BX470111.1
ENSG00000182712	ENSG00000182712.16	CMC4
ENSG00000169249	ENSG00000169249.12	ZRSR2
ENSG00000131080	ENSG00000131080.15	EDA2R
ENSG00000157600	ENSG00000157600.12	TMEM164
ENSG00000243978	ENSG00000243978.8	RTL9
ENSG00000101935	ENSG00000101935.10	AMMECR1
ENSG00000182287	ENSG00000182287.15	AP1S2
ENSG00000126952	ENSG00000126952.17	NXF5
ENSG00000169083	ENSG00000169083.17	AR
ENSG00000101938	ENSG00000101938.15	CHRDL1
ENSG00000130224	ENSG00000130224.15	LRCH2
ENSG00000175718	ENSG00000175718.10	RBMXL3
ENSG00000102021	ENSG00000102021.11	LUZP4
ENSG00000172943	ENSG00000172943.20	PHF8
ENSG00000102024	ENSG00000102024.18	PLS3
ENSG00000126010	ENSG00000126010.6	GRPR
ENSG00000182798	ENSG00000182798.10	MAGEB17
ENSG00000235699	ENSG00000235699.3	CXorf51B
ENSG00000224440	ENSG00000224440.1	CXorf51A
ENSG00000102287	ENSG00000102287.19	GABRE
ENSG00000085185	ENSG00000085185.15	BCORL1
ENSG00000079482	ENSG00000079482.13	OPHN1
ENSG00000180772	ENSG00000180772.7	AGTR2
ENSG00000124260	ENSG00000124260.12	MAGEA10
ENSG00000011677	ENSG00000011677.13	GABRA3
ENSG00000166432	ENSG00000166432.15	ZMAT1
ENSG00000102034	ENSG00000102034.17	ELF4
ENSG00000268104	ENSG00000268104.3	SLC6A14
ENSG00000204019	ENSG00000204019.5	CT83
ENSG00000131828	ENSG00000131828.14	PDHA1
ENSG00000268089	ENSG00000268089.3	GABRQ
ENSG00000184905	ENSG00000184905.9	TCEAL2
ENSG00000204071	ENSG00000204071.10	TCEAL6
ENSG00000221867	ENSG00000221867.9	MAGEA3
ENSG00000180815	ENSG00000180815.14	MAP3K15
ENSG00000268902	ENSG00000268902.3	CSAG2
ENSG00000147162	ENSG00000147162.14	OGT
ENSG00000183305	ENSG00000183305.13	MAGEA2B
ENSG00000047230	ENSG00000047230.15	CTPS2
ENSG00000184515	ENSG00000184515.11	BEX5
ENSG00000182162	ENSG00000182162.11	P2RY8
ENSG00000169906	ENSG00000169906.5	S100G
ENSG00000268235	ENSG00000268235.7	TCP11X1
ENSG00000184083	ENSG00000184083.12	FAM120C
ENSG00000269405	ENSG00000269405.7	NXF2
ENSG00000169895	ENSG00000169895.6	SYAP1
ENSG00000197976	ENSG00000197976.12	AKAP17A
ENSG00000102081	ENSG00000102081.15	FMR1
ENSG00000198930	ENSG00000198930.13	CSAG1
ENSG00000213401	ENSG00000213401.10	MAGEA12
ENSG00000197172	ENSG00000197172.10	MAGEA6
ENSG00000268916	ENSG00000268916.6	CSAG3
ENSG00000196632	ENSG00000196632.10	WNK3
ENSG00000268606	ENSG00000268606.5	MAGEA2
ENSG00000181704	ENSG00000181704.12	YIPF6
ENSG00000147174	ENSG00000147174.11	GCNA
ENSG00000077264	ENSG00000077264.15	PAK3
ENSG00000269437	ENSG00000269437.7	NXF2B
ENSG00000147257	ENSG00000147257.15	GPC3
ENSG00000284800	ENSG00000284800.1	AC235565.2
ENSG00000215029	ENSG00000215029.10	TCP11X2
ENSG00000186810	ENSG00000186810.8	CXCR3
ENSG00000283599	ENSG00000283599.2	BX276092.9
ENSG00000215115	ENSG00000215115.6	CXorf49
ENSG00000147400	ENSG00000147400.10	CETN2
ENSG00000158164	ENSG00000158164.7	TMSB15A
ENSG00000147383	ENSG00000147383.11	NSDHL
ENSG00000156709	ENSG00000156709.14	AIFM1
ENSG00000155959	ENSG00000155959.12	VBP1
ENSG00000196433	ENSG00000196433.13	ASMT
ENSG00000155961	ENSG00000155961.5	RAB39B
ENSG00000203952	ENSG00000203952.9	CCDC160
ENSG00000158526	ENSG00000158526.8	TSR2
ENSG00000102302	ENSG00000102302.8	FGD1
ENSG00000102054	ENSG00000102054.18	RBBP7
ENSG00000102076	ENSG00000102076.10	OPN1LW
ENSG00000268221	ENSG00000268221.6	OPN1MW
ENSG00000086712	ENSG00000086712.13	TXLNG
ENSG00000214717	ENSG00000214717.12	ZBED1
ENSG00000169084	ENSG00000169084.15	DHRSX
ENSG00000147394	ENSG00000147394.18	ZNF185
ENSG00000102001	ENSG00000102001.13	CACNA1F
ENSG00000156531	ENSG00000156531.17	PHF6
ENSG00000215113	ENSG00000215113.6	CXorf49B
ENSG00000242732	ENSG00000242732.4	RTL5
ENSG00000204131	ENSG00000204131.9	NHSL2
ENSG00000003096	ENSG00000003096.14	KLHL13
ENSG00000165704	ENSG00000165704.15	HPRT1
ENSG00000155962	ENSG00000155962.13	CLIC2
ENSG00000185825	ENSG00000185825.17	BCAP31
ENSG00000277858	ENSG00000277858.2	H2AB2
ENSG00000274791	ENSG00000274791.1	F8A2
ENSG00000277150	ENSG00000277150.2	F8A3
ENSG00000277745	ENSG00000277745.1	H2AB3
ENSG00000185973	ENSG00000185973.11	TMLHE
ENSG00000166160	ENSG00000166160.9	OPN1MW2
ENSG00000278057	ENSG00000278057.4	TEX28
ENSG00000007350	ENSG00000007350.17	TKTL1
ENSG00000147099	ENSG00000147099.21	HDAC8
ENSG00000269433	ENSG00000269433.3	OPN1MW3
ENSG00000176988	ENSG00000176988.9	FMR1NB
ENSG00000170965	ENSG00000170965.10	PLAC1
ENSG00000130052	ENSG00000130052.13	STARD8
ENSG00000131725	ENSG00000131725.14	WDR44
ENSG00000198932	ENSG00000198932.13	GPRASP1
ENSG00000286237	ENSG00000286237.1	ARMCX5-GPRASP2
ENSG00000198908	ENSG00000198908.12	BHLHB9
ENSG00000168939	ENSG00000168939.11	SPRY3
ENSG00000158301	ENSG00000158301.18	GPRASP2
ENSG00000125962	ENSG00000125962.14	ARMCX5
ENSG00000101986	ENSG00000101986.12	ABCD1
ENSG00000124333	ENSG00000124333.16	VAMP7
ENSG00000198753	ENSG00000198753.12	PLXNB3
ENSG00000198883	ENSG00000198883.12	PNMA5
ENSG00000184343	ENSG00000184343.11	SRPK3
ENSG00000155966	ENSG00000155966.14	AFF2
ENSG00000134594	ENSG00000134594.5	RAB33A
ENSG00000056277	ENSG00000056277.16	ZNF280C
ENSG00000125931	ENSG00000125931.11	CITED1
ENSG00000186871	ENSG00000186871.7	ERCC6L
ENSG00000287585	ENSG00000287585.1	AC231656.1
ENSG00000102309	ENSG00000102309.15	PIN4
ENSG00000198034	ENSG00000198034.11	RPS4X
ENSG00000285547	ENSG00000285547.1	AL133500.1
ENSG00000077274	ENSG00000077274.9	CAPN6
ENSG00000124334	ENSG00000124334.17	IL9R
ENSG00000090776	ENSG00000090776.6	EFNB1
ENSG00000130119	ENSG00000130119.17	GNL3L
ENSG00000129680	ENSG00000129680.16	MAP7D3
ENSG00000183837	ENSG00000183837.9	PNMA3
ENSG00000235961	ENSG00000235961.6	PNMA6A
ENSG00000198681	ENSG00000198681.7	MAGEA1
ENSG00000278803	ENSG00000278803.2	AC236972.4
ENSG00000225110	ENSG00000225110.3	PNMA6F
ENSG00000063587	ENSG00000063587.15	ZNF275
ENSG00000169891	ENSG00000169891.18	REPS2
ENSG00000049769	ENSG00000049769.14	PPP1R3F
ENSG00000049768	ENSG00000049768.16	FOXP3
ENSG00000181191	ENSG00000181191.11	PJA1
ENSG00000101997	ENSG00000101997.13	CCDC22
ENSG00000214897	ENSG00000214897.5	PNMA6E
ENSG00000189420	ENSG00000189420.8	ZFP92
ENSG00000130054	ENSG00000130054.5	FAM155B
ENSG00000188158	ENSG00000188158.15	NHS
ENSG00000182492	ENSG00000182492.16	BGN
ENSG00000213397	ENSG00000213397.10	HAUS7
ENSG00000156500	ENSG00000156500.15	FAM122C
ENSG00000183479	ENSG00000183479.12	TREX2
ENSG00000156504	ENSG00000156504.16	FAM122B
ENSG00000002586	ENSG00000002586.20	CD99
ENSG00000102078	ENSG00000102078.16	SLC25A14
ENSG00000158813	ENSG00000158813.18	EDA
ENSG00000215274	ENSG00000215274.5	GAGE10
ENSG00000224659	ENSG00000224659.2	GAGE12J
ENSG00000275113	ENSG00000275113.1	GAGE2E
ENSG00000236737	ENSG00000236737.1	GAGE12B
ENSG00000274274	ENSG00000274274.1	GAGE13
ENSG00000102313	ENSG00000102313.9	ITIH6
ENSG00000147160	ENSG00000147160.9	AWAT2
ENSG00000101928	ENSG00000101928.13	MOSPD1
ENSG00000189401	ENSG00000189401.3	OTUD6A
ENSG00000237671	ENSG00000237671.3	GAGE12C
ENSG00000227488	ENSG00000227488.2	GAGE12D
ENSG00000283697	ENSG00000283697.2	HSFX3
ENSG00000184785	ENSG00000184785.6	SMIM10
ENSG00000224902	ENSG00000224902.5	GAGE12H
ENSG00000241489	ENSG00000241489.8	AC244197.3
ENSG00000102316	ENSG00000102316.17	MAGED2
ENSG00000205777	ENSG00000205777.17	GAGE1
ENSG00000147010	ENSG00000147010.18	SH3KBP1
ENSG00000197620	ENSG00000197620.11	EOLA1
ENSG00000236362	ENSG00000236362.8	GAGE12F
ENSG00000189064	ENSG00000189064.8	GAGE2A
ENSG00000216649	ENSG00000216649.3	GAGE12E
ENSG00000010404	ENSG00000010404.18	IDS
ENSG00000215269	ENSG00000215269.5	GAGE12G
ENSG00000102128	ENSG00000102128.8	RAB40AL
ENSG00000212747	ENSG00000212747.5	RTL8B
ENSG00000089289	ENSG00000089289.16	IGBP1
ENSG00000133169	ENSG00000133169.6	BEX1
ENSG00000134590	ENSG00000134590.14	RTL8C
ENSG00000124343	ENSG00000124343.13	XG
ENSG00000077279	ENSG00000077279.19	DCX
ENSG00000203950	ENSG00000203950.6	RTL8A
ENSG00000196972	ENSG00000196972.9	SMIM10L2B
ENSG00000224107	ENSG00000224107.5	ETDB
ENSG00000147251	ENSG00000147251.15	DOCK11
ENSG00000169551	ENSG00000169551.12	CT55
ENSG00000047634	ENSG00000047634.15	SCML1
ENSG00000184210	ENSG00000184210.6	DGAT2L6
ENSG00000283644	ENSG00000283644.1	ETDC
ENSG00000186376	ENSG00000186376.15	ZNF75D
ENSG00000196924	ENSG00000196924.18	FLNA
ENSG00000238210	ENSG00000238210.4	ETDA
ENSG00000147262	ENSG00000147262.4	GPR119
ENSG00000204195	ENSG00000204195.4	AWAT1
ENSG00000186912	ENSG00000186912.6	P2RY4
ENSG00000120500	ENSG00000120500.18	ARR3
ENSG00000147127	ENSG00000147127.8	RAB41
ENSG00000260802	ENSG00000260802.1	SERTM2
ENSG00000134597	ENSG00000134597.16	RBMX2
ENSG00000180879	ENSG00000180879.14	SSR4
ENSG00000090889	ENSG00000090889.12	KIF4A
ENSG00000067829	ENSG00000067829.19	IDH3G
ENSG00000068985	ENSG00000068985.5	PAGE1
ENSG00000101951	ENSG00000101951.17	PAGE4
ENSG00000120509	ENSG00000120509.10	PDZD11
ENSG00000131831	ENSG00000131831.18	RAI2
ENSG00000173275	ENSG00000173275.13	ZNF449
ENSG00000178947	ENSG00000178947.9	SMIM10L2A
ENSG00000165359	ENSG00000165359.15	INTS6L
ENSG00000102119	ENSG00000102119.11	EMD
ENSG00000147206	ENSG00000147206.17	NXF3
ENSG00000165675	ENSG00000165675.16	ENOX2
ENSG00000131724	ENSG00000131724.11	IL13RA1
ENSG00000177324	ENSG00000177324.14	BEND2
ENSG00000173681	ENSG00000173681.16	BCLAF3
ENSG00000268940	ENSG00000268940.5	CT45A1
ENSG00000130055	ENSG00000130055.13	GDPD2
ENSG00000269096	ENSG00000269096.7	CT45A3
ENSG00000174460	ENSG00000174460.4	ZCCHC12
ENSG00000228836	ENSG00000228836.8	CT45A5
ENSG00000278289	ENSG00000278289.5	CT45A6
ENSG00000271449	ENSG00000271449.8	CT45A2
ENSG00000273696	ENSG00000273696.4	CT45A7
ENSG00000278085	ENSG00000278085.5	CT45A8
ENSG00000270946	ENSG00000270946.6	CT45A9
ENSG00000269586	ENSG00000269586.7	CT45A10
ENSG00000267978	ENSG00000267978.5	MAGEA9B
ENSG00000181433	ENSG00000181433.9	SAGE1
ENSG00000102409	ENSG00000102409.10	BEX4
ENSG00000268738	ENSG00000268738.3	HSFX2
ENSG00000269556	ENSG00000269556.8	TMEM185A
ENSG00000147256	ENSG00000147256.12	ARHGAP36
ENSG00000282815	ENSG00000282815.1	TEX13C
ENSG00000185247	ENSG00000185247.15	MAGEA11
ENSG00000198354	ENSG00000198354.7	DCAF12L2
ENSG00000198889	ENSG00000198889.5	DCAF12L1
ENSG00000198689	ENSG00000198689.11	SLC9A6
ENSG00000175556	ENSG00000175556.17	LONRF3
ENSG00000183631	ENSG00000183631.5	PRR32
ENSG00000184368	ENSG00000184368.16	MAP7D2
ENSG00000169446	ENSG00000169446.5	MMGT1
ENSG00000277535	ENSG00000277535.2	AL772284.2
ENSG00000171116	ENSG00000171116.7	HSFX1
ENSG00000123584	ENSG00000123584.7	MAGEA9
ENSG00000250423	ENSG00000250423.2	KIAA1210
ENSG00000156009	ENSG00000156009.10	MAGEA8
ENSG00000180964	ENSG00000180964.17	TCEAL8
ENSG00000101856	ENSG00000101856.10	PGRMC1
ENSG00000273820	ENSG00000273820.2	USP27X
ENSG00000123165	ENSG00000123165.8	ACTRT1
ENSG00000067445	ENSG00000067445.21	TRO
ENSG00000204065	ENSG00000204065.3	TCEAL5
ENSG00000197021	ENSG00000197021.9	EOLA2
ENSG00000156920	ENSG00000156920.11	ADGRG4
ENSG00000283463	ENSG00000283463.2	HSFX4
ENSG00000133134	ENSG00000133134.11	BEX2
ENSG00000182916	ENSG00000182916.8	TCEAL7
ENSG00000082458	ENSG00000082458.12	DLG3
ENSG00000102038	ENSG00000102038.15	SMARCA1
ENSG00000102239	ENSG00000102239.5	BRS3
ENSG00000013563	ENSG00000013563.14	DNASE1L1
ENSG00000102241	ENSG00000102241.12	HTATSF1
ENSG00000102098	ENSG00000102098.19	SCML2
ENSG00000102125	ENSG00000102125.16	TAZ
ENSG00000067842	ENSG00000067842.17	ATP2B3
ENSG00000102243	ENSG00000102243.13	VGLL1
ENSG00000173674	ENSG00000173674.11	EIF1AX
ENSG00000147403	ENSG00000147403.16	RPL10
ENSG00000171365	ENSG00000171365.17	CLCN5
ENSG00000067840	ENSG00000067840.12	PDZD4
ENSG00000102245	ENSG00000102245.8	CD40LG
ENSG00000185222	ENSG00000185222.10	TCEAL9
ENSG00000129675	ENSG00000129675.16	ARHGEF6
ENSG00000013619	ENSG00000013619.14	MAMLD1
ENSG00000166681	ENSG00000166681.14	BEX3
ENSG00000171100	ENSG00000171100.15	MTM1
ENSG00000122126	ENSG00000122126.17	OCRL
ENSG00000101901	ENSG00000101901.12	ALG13
ENSG00000147255	ENSG00000147255.19	IGSF1
ENSG00000171388	ENSG00000171388.12	APLN
ENSG00000171054	ENSG00000171054.8	OR13H1
ENSG00000147274	ENSG00000147274.14	RBMX
ENSG00000236446	ENSG00000236446.3	CT47B1
ENSG00000278646	ENSG00000278646.1	AC008162.2
ENSG00000226685	ENSG00000226685.4	CT47A12
ENSG00000226929	ENSG00000226929.3	CT47A11
ENSG00000224089	ENSG00000224089.3	CT47A10
ENSG00000226600	ENSG00000226600.3	CT47A9
ENSG00000269313	ENSG00000269313.5	MAGIX
ENSG00000230347	ENSG00000230347.5	CT47A8
ENSG00000012211	ENSG00000012211.13	PRICKLE3
ENSG00000102007	ENSG00000102007.11	PLP2
ENSG00000228517	ENSG00000228517.3	CT47A7
ENSG00000226023	ENSG00000226023.6	CT47A6
ENSG00000237957	ENSG00000237957.6	CT47A5
ENSG00000230594	ENSG00000230594.3	CT47A4
ENSG00000236126	ENSG00000236126.3	CT47A3
ENSG00000004961	ENSG00000004961.15	HCCS
ENSG00000147065	ENSG00000147065.17	MSN
ENSG00000187823	ENSG00000187823.3	RTL4
ENSG00000072315	ENSG00000072315.3	TRPC5
ENSG00000102195	ENSG00000102195.10	GPR50
ENSG00000029993	ENSG00000029993.15	HMGB3
ENSG00000179222	ENSG00000179222.18	MAGED1
ENSG00000189299	ENSG00000189299.7	FOXR2
ENSG00000256045	ENSG00000256045.3	MTRNR2L10
ENSG00000182518	ENSG00000182518.13	FAM104B
ENSG00000188706	ENSG00000188706.13	ZDHHC9
ENSG00000102104	ENSG00000102104.9	RS1
ENSG00000008086	ENSG00000008086.13	CDKL5
ENSG00000262919	ENSG00000262919.8	CCNQ
ENSG00000133142	ENSG00000133142.17	TCEAL4
ENSG00000147081	ENSG00000147081.15	AKAP4
ENSG00000126895	ENSG00000126895.15	AVPR2
